Financial Year,Period,Line,Actual KMs in Peak,Scheduled KMs in Peak,Actual KMs in Off Peak,Scheduled KMs in Off Peak,Actual KMs Total,Scheduled KMs Total,,,,
2017-18,9,C&H," 71,330 "," 76,049 "," 243,303 "," 256,531 "," 314,633 "," 332,580 ",,,,
2017-18,9,Central," 254,286 "," 277,502 "," 735,505 "," 784,754 "," 989,791 "," 1,062,256 ",,,,
2017-18,9,District," 198,686 "," 209,237 "," 582,634 "," 596,867 "," 781,321 "," 806,104 ",,,,
2017-18,9,Jubilee," 215,738 "," 221,827 "," 633,485 "," 641,365 "," 849,223 "," 863,193 ",,,,
2017-18,9,Metropolitan," 166,737 "," 172,158 "," 447,596 "," 455,873 "," 614,332 "," 628,031 ",,,,
2017-18,9,Northern," 291,508 "," 298,866 "," 878,154 "," 890,286 "," 1,169,662 "," 1,189,152 ",,,,
2017-18,9,Piccadilly," 218,776 "," 234,569 "," 670,619 "," 709,770 "," 889,395 "," 944,338 ",,,,
2017-18,9,Victoria," 167,692 "," 175,116 "," 432,997 "," 440,250 "," 600,689 "," 615,366 ",,,,
2017-18,9,Waterloo & City," 10,880 "," 11,221 "," 17,387 "," 17,543 "," 28,267 "," 28,764 ",,,,
2017-18,10,Bakerloo," 65,983 "," 68,025 "," 203,362 "," 210,254 "," 269,345 "," 278,279 ",,,,
2017-18,10,C&H," 63,558 "," 66,994 "," 226,309 "," 240,144 "," 289,867 "," 307,138 ",,,,
2017-18,10,Central," 232,463 "," 247,027 "," 692,284 "," 746,615 "," 924,747 "," 993,642 ",,,,
2017-18,10,District," 161,337 "," 168,378 "," 493,076 "," 503,839 "," 654,413 "," 672,217 ",,,,
2017-18,10,Jubilee," 194,278 "," 197,260 "," 597,659 "," 612,710 "," 791,937 "," 809,970 ",,,,
2017-18,10,Metropolitan," 143,360 "," 149,714 "," 411,051 "," 431,241 "," 554,411 "," 580,955 ",,,,
2017-18,10,Northern," 251,232 "," 254,552 "," 766,146 "," 787,560 "," 1,017,378 "," 1,042,112 ",,,,
2017-18,10,Piccadilly," 204,476 "," 214,643 "," 657,582 "," 702,780 "," 862,059 "," 917,423 ",,,,
