"time period","national or operator","number of trains planned","number of trains part cancelled","number of trains full cancelled","cancellation number","periodic cancellations percentage","moving annual average cancellations percentage"
"Apr 2019 to Mar 2020 (Period 13)","Caledonian Sleeper","155","4","5","7.0","4.52","3.32"
"Apr 2020 to Mar 2021 (Period 01)","Caledonian Sleeper","73","1","0","0.5","0.68","3.32"
"Apr 2020 to Mar 2021 (Period 02)","Caledonian Sleeper","75","0","2","2.0","2.67","3.50"
"Apr 2020 to Mar 2021 (Period 03)","Caledonian Sleeper","96","1","0","0.5","0.52","3.22"
"Apr 2020 to Mar 2021 (Period 04)","Caledonian Sleeper","90","0","1","1.0","1.11","3.28"
"Apr 2020 to Mar 2021 (Period 05)","Caledonian Sleeper","119","8","2","6.0","5.04","3.46"
"Apr 2020 to Mar 2021 (Period 06)","Caledonian Sleeper","117","0","1","1.0","0.85","3.26"
"Apr 2020 to Mar 2021 (Period 07)","Caledonian Sleeper","107","1","0","0.5","0.47","3.30"
"Apr 2020 to Mar 2021 (Period 08)","Caledonian Sleeper","128","1","1","1.5","1.17","3.20"
"Apr 2020 to Mar 2021 (Period 09)","Caledonian Sleeper","48","2","0","1.0","2.08","2.81"
"Apr 2020 to Mar 2021 (Period 10)","Caledonian Sleeper","71","2","6","7.0","9.86","3.39"
"Apr 2020 to Mar 2021 (Period 11)","Caledonian Sleeper","49","4","1","3.0","6.12","3.46"
"Apr 2020 to Mar 2021 (Period 12)","Caledonian Sleeper","51","7","9","12.5","24.51","3.69"
"Apr 2020 to Mar 2021 (Period 13)","Caledonian Sleeper","45","1","1","1.5","3.33","3.55"
"Apr 2021 to Mar 2022 (Period 01)","Caledonian Sleeper","65","2","0","1.0","1.54","3.63"
"Apr 2021 to Mar 2022 (Period 02)","Caledonian Sleeper","163","0","0","0.0","0","3.18"
"Apr 2021 to Mar 2022 (Period 03)","Caledonian Sleeper","95","2","0","1.0","1.05","3.22"
"Apr 2021 to Mar 2022 (Period 04)","Caledonian Sleeper","166","3","13","14.5","8.73","4.13"
"Apr 2021 to Mar 2022 (Period 05)","Caledonian Sleeper","159","8","18","22.0","13.84","5.26"
"Apr 2021 to Mar 2022 (Period 06)","Caledonian Sleeper","134","1","4","4.5","3.36","5.46"
"Apr 2021 to Mar 2022 (Period 07)","Caledonian Sleeper","166","2","4","5.0","3.01","5.56"
"Apr 2021 to Mar 2022 (Period 08)","Caledonian Sleeper","142","1","7","7.5","5.28","5.95"
"Apr 2021 to Mar 2022 (Period 09)","Caledonian Sleeper","149","7","9","12.5","8.39","6.32"
"Apr 2021 to Mar 2022 (Period 10)","Caledonian Sleeper","140","2","1","2.0","1.43","5.71"
"Apr 2021 to Mar 2022 (Period 11)","Caledonian Sleeper","163","2","1","2.0","1.23","5.25"
