line,from_id,to_id
jubilee,940GZZLUSWC,940GZZLUFYR
jubilee,940GZZLUFYR,940GZZLUWHP
jubilee,940GZZLUWHP,940GZZLUKBN
jubilee,940GZZLUKBN,940GZZLUWIG
jubilee,940GZZLUWIG,940GZZLUDOH
jubilee,940GZZLUDOH,940GZZLUNDN
jubilee,940GZZLUNDN,940GZZLUWYP
jubilee,940GZZLUWYP,940GZZLUKBY
jubilee,940GZZLUKBY,940GZZLUQBY
jubilee,940GZZLUQBY,940GZZLUCPK
jubilee,940GZZLUCPK,940GZZLUSTM
metropolitan,940GZZLUALD,940GZZLULVT
metropolitan,940GZZLULVT,940GZZLUMGT
metropolitan,940GZZLUMGT,940GZZLUBBN
metropolitan,940GZZLUBBN,940GZZLUFCN
metropolitan,940GZZLUFCN,940GZZLUKSX
metropolitan,940GZZLUKSX,940GZZLUESQ
metropolitan,940GZZLUESQ,940GZZLUGPS
metropolitan,940GZZLUGPS,940GZZLUBST
metropolitan,940GZZLUBST,940GZZLUFYR
metropolitan,940GZZLUFYR,940GZZLUWYP
metropolitan,940GZZLUWYP,940GZZLUPRD
metropolitan,940GZZLUPRD,940GZZLUNKP
metropolitan,940GZZLUNKP,940GZZLUHOH
metropolitan,940GZZLUHOH,940GZZLUNHA
metropolitan,940GZZLUNHA,940GZZLUPNR
metropolitan,940GZZLUPNR,940GZZLUNWH
metropolitan,940GZZLUNWH,940GZZLUNOW
metropolitan,940GZZLUNOW,940GZZLUMPK
metropolitan,940GZZLUMPK,940GZZLUCXY
metropolitan,940GZZLUCXY,940GZZLUWAF
metropolitan,940GZZLUMPK,940GZZLURKW
metropolitan,940GZZLURKW,940GZZLUCYD
metropolitan,940GZZLUCYD,940GZZLUCAL
metropolitan,940GZZLUCAL,940GZZLUAMS
metropolitan,940GZZLUCAL,940GZZLUCSM
metropolitan,940GZZLUHOH,940GZZLUWHW
metropolitan,940GZZLUWHW,940GZZLURYL
metropolitan,940GZZLURYL,940GZZLUEAE
metropolitan,940GZZLUEAE,940GZZLURSM
metropolitan,940GZZLURSM,940GZZLURSP
metropolitan,940GZZLURSP,940GZZLUICK
metropolitan,940GZZLUICK,940GZZLUHGD
metropolitan,940GZZLUHGD,940GZZLUUXB
metropolitan,940GZZLUAMS,940GZZLUCAL
metropolitan,940GZZLUCAL,940GZZLUCYD
metropolitan,940GZZLUCYD,940GZZLURKW
metropolitan,940GZZLURKW,940GZZLUMPK
metropolitan,940GZZLUMPK,940GZZLUNOW
metropolitan,940GZZLUNOW,940GZZLUNWH
metropolitan,940GZZLUNWH,940GZZLUPNR
metropolitan,940GZZLUPNR,940GZZLUNHA
metropolitan,940GZZLUNHA,940GZZLUHOH
metropolitan,940GZZLUHOH,940GZZLUNKP
metropolitan,940GZZLUNKP,940GZZLUPRD
metropolitan,940GZZLUPRD,940GZZLUWYP
metropolitan,940GZZLUWYP,940GZZLUWIG
metropolitan,940GZZLUWIG,940GZZLUFYR
metropolitan,940GZZLUFYR,940GZZLUBST
metropolitan,940GZZLUBST,940GZZLUGPS
metropolitan,940GZZLUGPS,940GZZLUESQ
metropolitan,940GZZLUESQ,940GZZLUKSX
metropolitan,940GZZLUKSX,940GZZLUFCN
metropolitan,940GZZLUFCN,940GZZLUBBN
metropolitan,940GZZLUBBN,940GZZLUMGT
metropolitan,940GZZLUMGT,940GZZLULVT
metropolitan,940GZZLULVT,940GZZLUALD
metropolitan,940GZZLUCSM,940GZZLUCAL
metropolitan,940GZZLUWYP,940GZZLUFYR
metropolitan,940GZZLUUXB,940GZZLUHGD
metropolitan,940GZZLUHGD,940GZZLUICK
metropolitan,940GZZLUICK,940GZZLURSP
metropolitan,940GZZLURSP,940GZZLURSM
metropolitan,940GZZLURSM,940GZZLUEAE
metropolitan,940GZZLUEAE,940GZZLURYL
metropolitan,940GZZLURYL,940GZZLUWHW
metropolitan,940GZZLUWHW,940GZZLUHOH
metropolitan,940GZZLUWAF,940GZZLUCXY
metropolitan,940GZZLUCXY,940GZZLUMPK
northern,940GZZBPSUST,940GZZNEUGST
northern,940GZZNEUGST,940GZZLUKNG
northern,940GZZLUKNG,940GZZLUWLO
northern,940GZZLUWLO,940GZZLUEMB
northern,940GZZLUEMB,940GZZLUCHX
northern,940GZZLUCHX,940GZZLULSQ
northern,940GZZLULSQ,940GZZLUTCR
northern,940GZZLUTCR,940GZZLUGDG
northern,940GZZLUGDG,940GZZLUWRR
northern,940GZZLUWRR,940GZZLUEUS
northern,940GZZLUEUS,940GZZLUMTC
northern,940GZZLUMTC,940GZZLUCTN
northern,940GZZLUCTN,940GZZLUCFM
northern,940GZZLUCFM,940GZZLUBZP
northern,940GZZLUBZP,940GZZLUHTD
northern,940GZZLUHTD,940GZZLUGGN
northern,940GZZLUGGN,940GZZLUBTX
northern,940GZZLUBTX,940GZZLUHCL
northern,940GZZLUHCL,940GZZLUCND
northern,940GZZLUCND,940GZZLUBTK
northern,940GZZLUBTK,940GZZLUEGW
northern,940GZZLUCTN,940GZZLUKSH
northern,940GZZLUKSH,940GZZLUTFP
northern,940GZZLUTFP,940GZZLUACY
northern,940GZZLUACY,940GZZLUHGT
northern,940GZZLUHGT,940GZZLUEFY
northern,940GZZLUEFY,940GZZLUFYC
northern,940GZZLUFYC,940GZZLUWFN
northern,940GZZLUWFN,940GZZLUWOP
northern,940GZZLUWOP,940GZZLUTAW
northern,940GZZLUTAW,940GZZLUHBT
northern,940GZZLUEGW,940GZZLUBTK
northern,940GZZLUBTK,940GZZLUCND
northern,940GZZLUCND,940GZZLUHCL
northern,940GZZLUHCL,940GZZLUBTX
northern,940GZZLUBTX,940GZZLUGGN
northern,940GZZLUGGN,940GZZLUHTD
northern,940GZZLUHTD,940GZZLUBZP
northern,940GZZLUBZP,940GZZLUCFM
northern,940GZZLUCFM,940GZZLUCTN
northern,940GZZLUCTN,940GZZLUEUS
northern,940GZZLUEUS,940GZZLUKSX
northern,940GZZLUKSX,940GZZLUAGL
northern,940GZZLUAGL,940GZZLUODS
northern,940GZZLUODS,940GZZLUMGT
northern,940GZZLUMGT,940GZZLUBNK
northern,940GZZLUBNK,940GZZLULNB
northern,940GZZLULNB,940GZZLUBOR
northern,940GZZLUBOR,940GZZLUEAC
northern,940GZZLUEAC,940GZZLUKNG
northern,940GZZLUKNG,940GZZLUOVL
northern,940GZZLUOVL,940GZZLUSKW
northern,940GZZLUSKW,940GZZLUCPN
northern,940GZZLUCPN,940GZZLUCPC
