line,from_id,to_id,from_name,to_name,from_name_clean,to_name_clean
district,940GZZLUKWG,940GZZLURMD,kew gardens,richmond,kew gardens,richmond
district,940GZZLUKOY,940GZZLUECT,kensington (olympia),earls court,kensington (olympia),earls court
district,940GZZLURMD,940GZZLUKWG,richmond,kew gardens,richmond,kew gardens
district,940GZZLUKWG,940GZZLUGBY,kew gardens,gunnersbury,kew gardens,gunnersbury
district,940GZZLUGBY,940GZZLUTNG,gunnersbury,turnham green,gunnersbury,turnham green
district,940GZZLUUPM,940GZZLUUPB,upminster,upminster bridge,upminster,upminster bridge
district,940GZZLUUPB,940GZZLUHCH,upminster bridge,hornchurch,upminster bridge,hornchurch
district,940GZZLUHCH,940GZZLUEPK,hornchurch,elm park,hornchurch,elm park
district,940GZZLUEPK,940GZZLUDGE,elm park,dagenham east,elm park,dagenham east
district,940GZZLUDGE,940GZZLUDGY,dagenham east,dagenham heathway,dagenham east,dagenham heathway
district,940GZZLUDGY,940GZZLUBEC,dagenham heathway,becontree,dagenham heathway,becontree
district,940GZZLUBEC,940GZZLUUPY,becontree,upney,becontree,upney
district,940GZZLUUPY,940GZZLUBKG,upney,barking,upney,barking
district,940GZZLUBKG,940GZZLUEHM,barking,east ham,barking,east ham
district,940GZZLUEHM,940GZZLUUPK,east ham,upton park,east ham,upton park
district,940GZZLUUPK,940GZZLUPLW,upton park,plaistow,upton park,plaistow
district,940GZZLUPLW,940GZZLUWHM,plaistow,west ham,plaistow,west ham
district,940GZZLUWHM,940GZZLUBBB,west ham,bromley-by-bow,west ham,bromley-by-bow
district,940GZZLUBBB,940GZZLUBWR,bromley-by-bow,bow road,bromley-by-bow,bow road
district,940GZZLUBWR,940GZZLUMED,bow road,mile end,bow road,mile end
district,940GZZLUMED,940GZZLUSGN,mile end,stepney green,mile end,stepney green
