station_id,station_name,lat,lon,zone
9400ZZLUWOP2,Woodside Park Underground Station,51.61787,-0.185454,
9400ZZLUWPL,Whitechapel Underground Station,51.519518,-0.059971,
9400ZZLUWPL1,Whitechapel Underground Station,51.519398,-0.060884,
9400ZZLUWPL2,Whitechapel Underground Station,51.519414,-0.060797,
9400ZZLUWPL3,Whitechapel Underground Station,51.519715,-0.05992,
9400ZZLUWPL4,Whitechapel Underground Station,51.519659,-0.05985,
9400ZZLUWR1,Bow Road Underground Station,51.526956,-0.025026,
9400ZZLUWRP,West Ruislip Underground Station,51.569688,-0.437886,
9400ZZLUWRP1,West Ruislip Underground Station,51.56951,-0.437343,
9400ZZLUWRR,Warren Street Underground Station,51.524951,-0.138321,
9400ZZLUWRR1,Warren Street Underground Station,51.524331,-0.137784,
9400ZZLUWRR2,Warren Street Underground Station,51.524276,-0.137757,
9400ZZLUWRR3,Warren Street Underground Station,51.524084,-0.138688,
9400ZZLUWRR4,Warren Street Underground Station,51.524031,-0.138719,
9400ZZLUWSD,Wanstead Underground Station,51.575501,0.028527,
9400ZZLUWSD1,Wanstead Underground Station,51.575663,0.029069,
9400ZZLUWSD2,Wanstead Station,51.575672,0.029069,
9400ZZLUWSM,Westminster Underground Station,51.50132,-0.124861,
9400ZZLUWSM1,Westminster Underground Station,51.501284,-0.124877,
9400ZZLUWSM2,Westminster Underground Station,51.501185,-0.124838,
9400ZZLUWSM3,Westminster Underground Station,51.501004,-0.124773,
9400ZZLUWSM4,Westminster Underground Station,51.501006,-0.124932,
9400ZZLUWSP,Westbourne Park Underground Station,51.52111,-0.201065,
9400ZZLUWSP1,Westbourne Park Underground Station,51.520984,-0.201647,
9400ZZLUWSP2,Westbourne Park Underground Station,51.520973,-0.201546,
9400ZZLUWTA,West Acton Underground Station,51.518001,-0.28098,
9400ZZLUWTA1,West Acton Underground Station,51.518194,-0.280641,
9400ZZLUWTA2,West Acton Underground Station,51.518159,-0.2807,
9400ZZLUWWL,Walthamstow Central Underground Station,51.582965,-0.019885,
9400ZZLUWWL1,Walthamstow Central Underground Station,51.583067,-0.01952,
9400ZZLUWYC,Wembley Central Underground Station,51.552304,-0.296852,
9400ZZLUWYC1,Wembley Central Underground Station,51.551739,-0.29631,
9400ZZLUWYC2,Wembley Central Underground Station,51.552312,-0.296794,
9400ZZLUWYP,Wembley Park Underground Station,51.563198,-0.279262,
9400ZZLUWYP1,Wembley Park Underground Station,51.563518,-0.279596,
9400ZZLUWYP2,Wembley Park Underground Station,51.563518,-0.279581,
9400ZZLUWYP3,Wembley Park Underground Station,51.563509,-0.279596,
9400ZZLUWYP4,Wembley Park Underground Station,51.563517,-0.279567,
9400ZZLUWYP6,Wembley Park Underground Station,51.565944,-0.279504,
9400ZZNEUGST,Nine Elms Underground Station,51.479912,-0.128476,
940GZZBPSUST,Battersea Power Station Underground Station,51.479932,-0.142142,
940GZZLUACT,Acton Town Underground Station,51.503057,-0.280462,
