station_removed,station_display,propagation_risk_score,failure_impact_score,betweenness_centrality,degree_centrality
temple,Temple,0.07750936296133512,0.0577219624471634,0.0190369459250147,0.007380073800738
roding valley,Roding Valley,0.07529103289455798,0.0527014369119141,0.0185321853218532,0.007380073800738
newbury park,Newbury Park,0.07411585377978683,0.0523193250318529,0.0177805111384447,0.007380073800738
canada water,Canada Water,0.07354291722299502,0.0549495284729412,0.0168151792629037,0.007380073800738
west acton,West Acton,0.07299662601428022,0.0560873727380125,0.0161860507493963,0.007380073800738
ealing broadway,Ealing Broadway,0.07245125064699368,0.0564333962738457,0.0157259350371281,0.007380073800738
southwark,Southwark,0.06771528084538087,0.0532512534504468,0.0130458749031934,0.007380073800738
blackfriars,Blackfriars,0.06665200171549095,0.0546969100633451,0.0119848754043096,0.007380073800738
canary wharf,Canary Wharf,0.06560980525225694,0.0529519324777321,0.0116172383946061,0.007380073800738
chigwell,Chigwell,0.0645005412277244,0.0498992831247983,0.011480114801148,0.007380073800738
caledonian road,Caledonian Road,0.06435752131280831,0.0541789361814844,0.0104687713543802,0.007380073800738
chancery lane,Chancery Lane,0.06386359691541804,0.0540515655547972,0.0101457792355701,0.007380073800738
barkingside,Barkingside,0.06365281299661922,0.0496445418714241,0.01093344266776,0.007380073800738
st. pauls,St. Pauls,0.06303479615511393,0.0543869748717399,0.0094870393148376,0.007380073800738
aldgate,Aldgate,0.06001250154160145,0.0527905963505951,0.0076843879549906,0.007380073800738
russell square,Russell Square,0.059660009513890624,0.0540409513359066,0.0071686939091613,0.007380073800738
north greenwich,North Greenwich,0.05818654276733522,0.0520582152471444,0.0065459432372101,0.007380073800738
mansion house,Mansion House,0.05815304118467721,0.0527799821317045,0.0063687303539701,0.007380073800738
bow road,Bow Road,0.0579918459855546,0.052499766752993,0.0063140631406314,0.007380073800738
marylebone,Marylebone,0.05686856638555417,0.0540260914294599,0.005193385267186,0.007380073800738
whitechapel,Whitechapel,0.05631319450730963,0.0524190986894244,0.0051414514145141,0.007380073800738
