Financial Year,Period,Organisational Name,KPI Name,EJT for Period,EJT Year to Date,Line,Line_clean
2017-18,9,London Underground Network,Excess Journey Time - Total,5.69,4.57,London Underground Network,london underground network
2017-18,10,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.33,1.78,Bakerloo,bakerloo
2017-18,10,Line Operations - Central Line,Excess Journey Time - Trains,2.86,2.84,Central,central
2017-18,10,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,2.98,3.05,Circle and Hammersmith,circle and hammersmith
2017-18,10,Line Operations - District Line,Excess Journey Time - Trains,3.09,3.28,District,district
2017-18,10,Line Operations - Jubilee Line,Excess Journey Time - Trains,0.94,1.23,Jubilee,jubilee
2017-18,10,Line Operations - Metropolitan Line,Excess Journey Time - Trains,2.88,2.02,Metropolitan,metropolitan
2017-18,10,Line Operations - Northern Line,Excess Journey Time - Trains,1.59,1.42,Northern,northern
2017-18,10,Line Operations - Piccadilly Line,Excess Journey Time - Trains,3.24,3.5,Piccadilly,piccadilly
2017-18,10,Line Operations - Victoria Line,Excess Journey Time - Trains,1.04,1.22,Victoria,victoria
2017-18,10,London Underground Network,Excess Journey Time - Total,4.2,4.53,London Underground Network,london underground network
2017-18,11,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.47,1.76,Bakerloo,bakerloo
2017-18,11,Line Operations - Central Line,Excess Journey Time - Trains,3.12,2.87,Central,central
2017-18,11,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,3.47,3.08,Circle and Hammersmith,circle and hammersmith
2017-18,11,Line Operations - District Line,Excess Journey Time - Trains,3.73,3.32,District,district
2017-18,11,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.25,1.23,Jubilee,jubilee
2017-18,11,Line Operations - Metropolitan Line,Excess Journey Time - Trains,2.46,2.06,Metropolitan,metropolitan
2017-18,11,Line Operations - Northern Line,Excess Journey Time - Trains,1.35,1.42,Northern,northern
2017-18,11,Line Operations - Piccadilly Line,Excess Journey Time - Trains,3.12,3.47,Piccadilly,piccadilly
2017-18,11,Line Operations - Victoria Line,Excess Journey Time - Trains,1.03,1.2,Victoria,victoria
2017-18,11,London Underground Network,Excess Journey Time - Total,4.49,4.53,London Underground Network,london underground network
2017-18,12,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.7,1.75,Bakerloo,bakerloo
