Financial Year,Period,Line,Actual KMs in Peak,Scheduled KMs in Peak,Actual KMs in Off Peak,Scheduled KMs in Off Peak,Actual KMs Total,Scheduled KMs Total,Line_clean
2018-19,1,District,194011.0,207786.0,572742.0,588516.0,766753.0,796302.0,district
2018-19,1,Jubilee,209244.0,220505.0,612897.0,642906.0,822141.0,863411.0,jubilee
2018-19,1,Metropolitan,163772.0,169531.0,439952.0,450807.0,603724.0,620338.0,metropolitan
2018-19,1,Northern,287504.0,294610.0,841120.0,851328.0,1128624.0,1145938.0,northern
2018-19,1,Piccadilly,230437.0,247619.0,711716.0,747460.0,942154.0,995079.0,piccadilly
2018-19,1,Victoria,170138.0,173421.0,438764.0,440239.0,608902.0,613660.0,victoria
2018-19,1,Waterloo & City,10481.0,10894.0,17219.0,17399.0,27700.0,28293.0,waterloo and city
2018-19,2,Bakerloo,72093.0,75467.0,210724.0,215468.0,282817.0,290935.0,bakerloo
2018-19,2,C&H,69485.0,73079.0,209725.0,217655.0,279210.0,290734.0,candh
2018-19,2,Central,266006.0,278345.0,756745.0,782283.0,1022751.0,1060628.0,central
2018-19,2,District,196139.0,204961.0,539335.0,549351.0,735474.0,754312.0,district
2018-19,2,Jubilee,217280.0,220410.0,636962.0,644591.0,854242.0,865001.0,jubilee
2018-19,2,Metropolitan,165398.0,169055.0,442358.0,447144.0,607757.0,616199.0,metropolitan
2018-19,2,Northern,298763.0,303367.0,856645.0,862044.0,1155408.0,1165411.0,northern
2018-19,2,Piccadilly,237547.0,247635.0,712390.0,749950.0,949936.0,997585.0,piccadilly
2018-19,2,Victoria,169195.0,173421.0,433499.0,440239.0,602694.0,613660.0,victoria
2018-19,2,Waterloo & City,9997.0,10817.0,17173.0,17382.0,27170.0,28199.0,waterloo and city
2018-19,3,Bakerloo,71295.0,75468.0,214432.0,220923.0,285727.0,296392.0,bakerloo
2018-19,3,C&H,73125.0,76036.0,236865.0,251416.0,309991.0,327452.0,candh
2018-19,3,Central,256688.0,278345.0,742888.0,782283.0,999576.0,1060628.0,central
2018-19,3,District,199312.0,207780.0,585690.0,592826.0,785002.0,800606.0,district
2018-19,3,Jubilee,218365.0,220371.0,642828.0,650662.0,861193.0,871033.0,jubilee
2018-19,3,Metropolitan,164574.0,170143.0,440413.0,446774.0,604987.0,616917.0,metropolitan
